review_id,product_name,review_text,rating,review_date
1,Samsung Galaxy Tab,Battery life is amazing and lasts long,4,2023-08-22
2,OnePlus Pad,Not worth the price,2,2023-11-28
3,OnePlus Pad,Battery life is amazing and lasts long,4,2023-02-13
4,Apple iPad,Not bad but not great,3,2023-11-13
5,Apple iPad,Good but needs improvement,3,2023-10-10
6,Apple iPad,Decent features for price,3,2023-05-09
7,Apple iPad,Highly recommend this tablet,4,2023-02-16
8,Samsung Galaxy Tab,Heating issues while using,2,2023-08-05
9,Samsung Galaxy Tab,Very bad battery life,1,2023-02-10
10,Apple iPad,Terrible customer experience,2,2023-07-19
11,Samsung Galaxy Tab,Terrible customer experience,1,2023-09-26
12,OnePlus Pad,Good but needs improvement,3,2023-01-26
13,OnePlus Pad,Performance is acceptable,3,2023-09-11
14,Apple iPad,Performance is acceptable,3,2023-12-09
15,OnePlus Pad,Battery life is amazing and lasts long,5,2023-07-31
16,Samsung Galaxy Tab,Not bad but not great,3,2023-01-08
17,Samsung Galaxy Tab,Heating issues while using,1,2023-11-03
18,Samsung Galaxy Tab,Terrible customer experience,2,2023-02-24
19,OnePlus Pad,Very fast and user friendly,4,2023-01-31
20,OnePlus Pad,Great value for money,5,2023-03-15
21,OnePlus Pad,Great value for money,5,2023-10-12
22,Samsung Galaxy Tab,Stopped working after few days,1,2023-08-11
23,OnePlus Pad,Terrible customer experience,2,2023-12-29
24,Samsung Galaxy Tab,Terrible customer experience,2,2023-09-16
25,OnePlus Pad,Poor performance and lagging,1,2023-11-05
26,Samsung Galaxy Tab,Very fast and user friendly,4,2023-02-01
27,Apple iPad,Stopped working after few days,1,2023-06-23
28,Samsung Galaxy Tab,Performance is acceptable,3,2023-01-12
29,OnePlus Pad,Superb design and build quality,4,2023-01-27
30,Apple iPad,Terrible customer experience,1,2023-06-20
31,OnePlus Pad,Great value for money,5,2023-12-23
32,Samsung Galaxy Tab,Very fast and user friendly,4,2023-04-13
33,Apple iPad,Heating issues while using,2,2023-10-10
34,Samsung Galaxy Tab,Great value for money,5,2023-08-20
35,Apple iPad,Highly recommend this tablet,4,2023-12-12
36,Samsung Galaxy Tab,Okay for daily use,3,2023-05-12
37,OnePlus Pad,Good but needs improvement,3,2023-11-08
38,Samsung Galaxy Tab,Okay for daily use,3,2023-11-16
39,Samsung Galaxy Tab,Poor performance and lagging,1,2023-08-19
40,Apple iPad,Highly recommend this tablet,5,2023-07-18
41,Apple iPad,Very fast and user friendly,4,2023-07-06
42,OnePlus Pad,Poor performance and lagging,1,2023-09-10
43,Samsung Galaxy Tab,Battery life is amazing and lasts long,4,2023-03-03
44,Apple iPad,Terrible customer experience,1,2023-12-06
45,Samsung Galaxy Tab,Great value for money,4,2023-04-27
46,Samsung Galaxy Tab,Superb design and build quality,4,2023-02-27
47,OnePlus Pad,Decent features for price,3,2023-09-04
48,Samsung Galaxy Tab,Very bad battery life,2,2023-07-11
49,OnePlus Pad,Superb design and build quality,4,2023-06-09
50,Apple iPad,Average product,3,2023-06-14
51,Samsung Galaxy Tab,Very bad battery life,2,2023-03-20
52,Apple iPad,Excellent performance and smooth display,5,2023-06-02
53,Apple iPad,Very bad battery life,2,2023-02-26
54,OnePlus Pad,Decent features for price,3,2023-03-01
55,Apple iPad,Terrible customer experience,1,2023-05-22
56,Apple iPad,Excellent performance and smooth display,5,2023-12-21
57,Apple iPad,Good but needs improvement,3,2023-09-18
58,OnePlus Pad,Good but needs improvement,3,2023-04-08
59,Apple iPad,Heating issues while using,1,2023-04-21
60,Samsung Galaxy Tab,Average product,3,2023-07-11
61,OnePlus Pad,Stopped working after few days,2,2023-04-13
62,OnePlus Pad,Highly recommend this tablet,5,2023-03-18
63,Samsung Galaxy Tab,Terrible customer experience,2,2023-04-14
64,Apple iPad,Decent features for price,3,2023-05-04
65,Samsung Galaxy Tab,Poor performance and lagging,2,2023-08-11
66,Apple iPad,Decent features for price,3,2023-03-02
67,OnePlus Pad,Great value for money,5,2023-02-25
68,OnePlus Pad,Decent features for price,3,2023-05-11
69,Samsung Galaxy Tab,Very fast and user friendly,5,2023-10-04
70,Samsung Galaxy Tab,Good but needs improvement,3,2023-11-03
71,Apple iPad,Great value for money,5,2023-05-02
72,Samsung Galaxy Tab,Good but needs improvement,3,2023-03-30
73,OnePlus Pad,Great value for money,5,2023-08-17
74,Samsung Galaxy Tab,Good but needs improvement,3,2023-08-02
75,OnePlus Pad,Okay for daily use,3,2023-02-25
76,Apple iPad,Heating issues while using,1,2023-06-30
77,Samsung Galaxy Tab,Very bad battery life,2,2023-09-28
78,OnePlus Pad,Performance is acceptable,3,2023-12-19
79,OnePlus Pad,Superb design and build quality,4,2023-09-22
80,Samsung Galaxy Tab,Okay for daily use,3,2023-12-25
81,Samsung Galaxy Tab,Superb design and build quality,4,2023-07-09
82,Samsung Galaxy Tab,Average product,3,2023-09-27
