review_id,product_name,review_text,rating,review_date,sentiment_score,sentiment
1,Samsung Galaxy Tab,battery life amazing lasts long,4,2023-08-22,0.275,Positive
2,OnePlus Pad,worth price,2,2023-11-28,0.3,Positive
3,OnePlus Pad,battery life amazing lasts long,4,2023-02-13,0.275,Positive
4,Apple iPad,bad great,3,2023-11-13,0.0500000000000001,Positive
5,Apple iPad,good needs improvement,3,2023-10-10,0.7,Positive
6,Apple iPad,decent features price,3,2023-05-09,0.16666666666666666,Positive
7,Apple iPad,highly recommend tablet,4,2023-02-16,0.16,Positive
8,Samsung Galaxy Tab,heating issues using,2,2023-08-05,0.0,Neutral
9,Samsung Galaxy Tab,bad battery life,1,2023-02-10,-0.6999999999999998,Negative
10,Apple iPad,terrible customer experience,2,2023-07-19,-1.0,Negative
11,Samsung Galaxy Tab,terrible customer experience,1,2023-09-26,-1.0,Negative
12,OnePlus Pad,good needs improvement,3,2023-01-26,0.7,Positive
13,OnePlus Pad,performance acceptable,3,2023-09-11,0.0,Neutral
14,Apple iPad,performance acceptable,3,2023-12-09,0.0,Neutral
15,OnePlus Pad,battery life amazing lasts long,5,2023-07-31,0.275,Positive
16,Samsung Galaxy Tab,bad great,3,2023-01-08,0.0500000000000001,Positive
17,Samsung Galaxy Tab,heating issues using,1,2023-11-03,0.0,Neutral
18,Samsung Galaxy Tab,terrible customer experience,2,2023-02-24,-1.0,Negative
19,OnePlus Pad,fast user friendly,4,2023-01-31,0.2875,Positive
20,OnePlus Pad,great value money,5,2023-03-15,0.8,Positive
21,OnePlus Pad,great value money,5,2023-10-12,0.8,Positive
22,Samsung Galaxy Tab,stopped working days,1,2023-08-11,0.0,Neutral
23,OnePlus Pad,terrible customer experience,2,2023-12-29,-1.0,Negative
24,Samsung Galaxy Tab,terrible customer experience,2,2023-09-16,-1.0,Negative
25,OnePlus Pad,poor performance lagging,1,2023-11-05,-0.4,Negative
26,Samsung Galaxy Tab,fast user friendly,4,2023-02-01,0.2875,Positive
27,Apple iPad,stopped working days,1,2023-06-23,0.0,Neutral
28,Samsung Galaxy Tab,performance acceptable,3,2023-01-12,0.0,Neutral
29,OnePlus Pad,superb design build quality,4,2023-01-27,1.0,Positive
30,Apple iPad,terrible customer experience,1,2023-06-20,-1.0,Negative
31,OnePlus Pad,great value money,5,2023-12-23,0.8,Positive
32,Samsung Galaxy Tab,fast user friendly,4,2023-04-13,0.2875,Positive
33,Apple iPad,heating issues using,2,2023-10-10,0.0,Neutral
34,Samsung Galaxy Tab,great value money,5,2023-08-20,0.8,Positive
35,Apple iPad,highly recommend tablet,4,2023-12-12,0.16,Positive
36,Samsung Galaxy Tab,okay daily use,3,2023-05-12,0.25,Positive
37,OnePlus Pad,good needs improvement,3,2023-11-08,0.7,Positive
38,Samsung Galaxy Tab,okay daily use,3,2023-11-16,0.25,Positive
39,Samsung Galaxy Tab,poor performance lagging,1,2023-08-19,-0.4,Negative
40,Apple iPad,highly recommend tablet,5,2023-07-18,0.16,Positive
41,Apple iPad,fast user friendly,4,2023-07-06,0.2875,Positive
42,OnePlus Pad,poor performance lagging,1,2023-09-10,-0.4,Negative
43,Samsung Galaxy Tab,battery life amazing lasts long,4,2023-03-03,0.275,Positive
44,Apple iPad,terrible customer experience,1,2023-12-06,-1.0,Negative
45,Samsung Galaxy Tab,great value money,4,2023-04-27,0.8,Positive
46,Samsung Galaxy Tab,superb design build quality,4,2023-02-27,1.0,Positive
47,OnePlus Pad,decent features price,3,2023-09-04,0.16666666666666666,Positive
48,Samsung Galaxy Tab,bad battery life,2,2023-07-11,-0.6999999999999998,Negative
49,OnePlus Pad,superb design build quality,4,2023-06-09,1.0,Positive
50,Apple iPad,average product,3,2023-06-14,-0.15,Negative
51,Samsung Galaxy Tab,bad battery life,2,2023-03-20,-0.6999999999999998,Negative
52,Apple iPad,excellent performance smooth display,5,2023-06-02,0.7,Positive
53,Apple iPad,bad battery life,2,2023-02-26,-0.6999999999999998,Negative
54,OnePlus Pad,decent features price,3,2023-03-01,0.16666666666666666,Positive
55,Apple iPad,terrible customer experience,1,2023-05-22,-1.0,Negative
56,Apple iPad,excellent performance smooth display,5,2023-12-21,0.7,Positive
57,Apple iPad,good needs improvement,3,2023-09-18,0.7,Positive
58,OnePlus Pad,good needs improvement,3,2023-04-08,0.7,Positive
59,Apple iPad,heating issues using,1,2023-04-21,0.0,Neutral
60,Samsung Galaxy Tab,average product,3,2023-07-11,-0.15,Negative
61,OnePlus Pad,stopped working days,2,2023-04-13,0.0,Neutral
62,OnePlus Pad,highly recommend tablet,5,2023-03-18,0.16,Positive
63,Samsung Galaxy Tab,terrible customer experience,2,2023-04-14,-1.0,Negative
64,Apple iPad,decent features price,3,2023-05-04,0.16666666666666666,Positive
65,Samsung Galaxy Tab,poor performance lagging,2,2023-08-11,-0.4,Negative
66,Apple iPad,decent features price,3,2023-03-02,0.16666666666666666,Positive
67,OnePlus Pad,great value money,5,2023-02-25,0.8,Positive
